id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1527674792895303681,1527642744675520513,2022-05-20 15:37:08 UTC,2022-05-20,15:37:08,+0000,2883440640,soldseparately_,thinkcarefully 🇨🇦🇺🇦,,"@CityNewsOttawa @Joschmo2032 @OntarioPCParty Another reason to vote for someone other than Ford. Absolute disrespect for people of Ontario. He has not shown up for health care, for education, for the environment, he failed us in covid - and he still won’t even talk to citizens or let his candidates.#onPoli",en,[],[],[],0,3,4,['onpoli'],[],https://twitter.com/soldseparately_/status/1527674792895303681,False,,0,,,,,,,,"[{'screen_name': 'CityNewsOttawa', 'name': 'CityNews Ottawa', 'id': '190738551'}, {'screen_name': 'Joschmo2032', 'name': ""Earl Camembert's Jacket"", 'id': '932399327909093376'}, {'screen_name': 'OntarioPCParty', 'name': 'Ontario PC Party', 'id': '58791677'}]",,,,
1527673264218247168,1527478081400733728,2022-05-20 15:31:03 UTC,2022-05-20,15:31:03,+0000,236471892,bleasdalefamily,Bleasdale Family - #ThinkDLD,,@WillsJacquie @MathStuart Daycares send out notices to parents of the kids. Lots of Covid closures and rashes and skin issues and fevers and gastro issues. It’s been a lot. I won’t go into specifics but it falls squarely on the shoulders Early Childhood &amp; Education Minister whose job it is to protect kids,en,[],[],[],1,0,4,[],[],https://twitter.com/bleasdalefamily/status/1527673264218247168,False,,0,,,,,,,,"[{'screen_name': 'WillsJacquie', 'name': 'Jacquie Wills', 'id': '1198635663697928192'}, {'screen_name': 'MathStuart', 'name': 'Stuart Jones', 'id': '960354051769716737'}]",,,,
1527673111717548034,1527642604111896576,2022-05-20 15:30:27 UTC,2022-05-20,15:30:27,+0000,1277258417657319424,name_bunchanums,Dutch4Dutch,,@schmangee @MyFriendCamilo why does your advocacy for education of working class kids begin and end with putting kids in a building during covid?   which kids and kids families are most vulnerable to covid? not yours. and not mine.,en,[],[],[],1,0,7,[],[],https://twitter.com/Name_BunchaNums/status/1527673111717548034,False,,0,,,,,,,,"[{'screen_name': 'schmangee', 'name': 'Angie Schmitt🚶\u200d♀️', 'id': '29476085'}, {'screen_name': 'MyFriendCamilo', 'name': 'camilo 🌹', 'id': '236591832'}]",,,,
1527671893083422722,1527664190353297409,2022-05-20 15:25:36 UTC,2022-05-20,15:25:36,+0000,475917441,ifrc_es,IFRC Americas,,"The devastating socio-economic impacts of the COVID-19 pandemic have stalled some of the key Sustainable Development Goals (SDGs) in Latin America and the Caribbean, such as ensuring inclusive education for all.  https://t.co/hXIwqSQQ9h",en,[],[],['https://pbs.twimg.com/media/FTNg51-WUAAr_HX.jpg'],1,1,2,[],[],https://twitter.com/IFRC_es/status/1527671893083422722,False,,1,https://pbs.twimg.com/media/FTNg51-WUAAr_HX.jpg,,,,,,,[],,,,
1527670026668367872,1527670025192034305,2022-05-20 15:18:11 UTC,2022-05-20,15:18:11,+0000,262510780,mrscrypto411,ANONYMOUS ♥️,,2. The COVID CRASH was an initial reaction to a government decision. It recovered quickly leading us into 2 years of bull market prosperity. That result was created by governance but it wasn’t sustainable long term as the decisions made were of poor value and education.  ... ⬇️,en,[],[],[],1,0,2,[],[],https://twitter.com/mrscrypto411/status/1527670026668367872,False,,0,,,,,,,,[],,,,
1527669918455500801,1527669918455500801,2022-05-20 15:17:45 UTC,2022-05-20,15:17:45,+0000,36052870,massmedical,Massachusetts Medical Society (MMS),,"“I think the COVID-19 pandemic made us all reflect and realize that #MentalHealth is not just some nice to have stuff, this is absolutely essential health care,"" said State Sen. @JulianCyr at the #MMSAnnual2022 Annual Education Program.  https://t.co/uIGetdf4kP",en,"[{'screen_name': 'juliancyr', 'name': 'julian cyr', 'id': '821976391'}]",[],['https://pbs.twimg.com/media/FTNfpNIWYAA13_b.jpg'],1,3,9,"['mentalhealth', 'mmsannual2022']",[],https://twitter.com/MassMedical/status/1527669918455500801,False,,1,https://pbs.twimg.com/media/FTNfpNIWYAA13_b.jpg,,,,,,,[],,,,
1527669792353701893,1527669792353701893,2022-05-20 15:17:15 UTC,2022-05-20,15:17:15,+0000,1083023147941724160,sit_center,SIT - Center,,"Today we published the research ""#Youth access to information, education &amp; care for Sexual and Reproductive Health (#SRH) in Kosovo during the #Covid times.""  Find the research here:  https://t.co/vSmSotzTff  Find more info here: https://t.co/pNHq9OKOrR  @Merck @ippfen #SITandThink  https://t.co/DL96svmgzk",en,"[{'screen_name': 'merck', 'name': 'merck', 'id': '35961145'}, {'screen_name': 'ippfen', 'name': 'ippf european network', 'id': '110737351'}]","['https://sit-ks.org/wp-content/uploads/2022/05/IPPF_REPORT_Kosovo_OK-4-109.05.2022.pdf', 'https://sit-ks.org/sit-published-the-research-youth-access-to-information-education-and-care-for-sexual-and-reproductive-health-srh-in-kosovo-during-the-covid-times/']","['https://pbs.twimg.com/media/FTNdhkVX0AEQqe2.jpg', 'https://pbs.twimg.com/media/FTNdhkUWAAE-Rlh.jpg', 'https://pbs.twimg.com/media/FTNdhlvXoAIg0SO.jpg', 'https://pbs.twimg.com/media/FTNdhnHWAAUXzmX.jpg']",0,1,2,"['youth', 'srh', 'covid', 'sitandthink']",[],https://twitter.com/SIT_center/status/1527669792353701893,False,,1,https://pbs.twimg.com/media/FTNdhkVX0AEQqe2.jpg,,,,,,,[],,,,
1527668848140468226,1527668848140468226,2022-05-20 15:13:30 UTC,2022-05-20,15:13:30,+0000,16009410,jobsacuk,jobsacuk,,The COVID-19 pandemic has made a significant impact on the higher education sector. We need to embrace the new normal and keep on refreshing our skills by maintaining continuous learning in higher education. Find out why:  https://t.co/JZKm2UqWV4,en,[],['https://bit.ly/3Ly0QyE'],[],0,0,0,[],[],https://twitter.com/jobsacuk/status/1527668848140468226,False,,0,,,,,,,,[],,,,
1527666215476514818,1527666215476514818,2022-05-20 15:03:03 UTC,2022-05-20,15:03:03,+0000,282033889,ibiloyeabiodun,Ibiloye Abiodun Christian,,"Education systems, globally and including in Nigeria, are slowly recovering from years of disruption, particularly COVID-19 lockdown. Except the Higher Education, the Federal Universities due to ASUU's IPPS-test-negotiation lockdown. @OfficialNUC , @NIG_ASUU #endASUUstrike",en,"[{'screen_name': 'officialnuc', 'name': 'national universities commission', 'id': '940220013193113600'}, {'screen_name': 'nig_asuu', 'name': 'asuu_ngr', 'id': '1492884847299284995'}]",[],[],0,0,1,['endasuustrike'],[],https://twitter.com/IbiloyeABIODUN/status/1527666215476514818,False,,0,,,,,,,,[],,,,
1527665555443810305,1527657581887598593,2022-05-20 15:00:25 UTC,2022-05-20,15:00:25,+0000,852010395543912448,yyc_steve,Steve,,"@5hoku @mikesbloggity @jkenney Well, he’s brought our PSE, K-12 Public Education and Public Health Care to their knees, tried to sell off our mountains to another country for the coal, completely (and intentionally) mishandled our Covid response, gambled billions on a pipeline (and lost)...shall I go on?",en,[],[],[],3,1,5,[],[],https://twitter.com/YYC_Steve/status/1527665555443810305,False,,0,,,,,,,,"[{'screen_name': '5hoku', 'name': 'Candice 🌸🍀', 'id': '91954214'}, {'screen_name': 'mikesbloggity', 'name': 'Mike Morrison 🏳️\u200d🌈', 'id': '22532501'}, {'screen_name': 'jkenney', 'name': 'Jason Kenney 🇺🇦', 'id': '21525682'}]",,,,
